date,price,sma30,sma40,sma50,t30_pos,t30_equity,t40_pos,t40_equity,t50_pos,t50_equity,buyhold_equity,note
2026-09-09,12154240,11805445,11397869,11196706,1,9995,1,9995,1,9995,9995,SMA30:BUY / SMA40:BUY / SMA50:BUY
2026-09-10,12070916,11869942,11450175,11224629,1,9926,1,9926,1,9926,9926,
2026-09-11,11900980,11929637,11497119,11252247,0,9782,1,9787,1,9787,9787,SMA30:SELL
2026-09-12,11873682,11991395,11540303,11278918,0,9782,1,9764,1,9764,9764,
2026-09-13,11875330,12052239,11581599,11304643,0,9782,1,9766,1,9766,9766,
2026-09-14,11882779,12113471,11623281,11329707,0,9782,1,9772,1,9772,9772,
2026-09-15,12204950,12178161,11672088,11364512,1,9777,1,10037,1,10037,10037,SMA30:BUY
2026-09-16,11784640,12227328,11709961,11392668,0,9436,1,9691,1,9691,9691,SMA30:SELL
2026-09-17,11786880,12256313,11747748,11421725,0,9436,1,9693,1,9693,9693,
2026-09-18,11947035,12269286,11790936,11462279,0,9436,1,9825,1,9825,9825,
2026-09-19,12666220,12280848,11853919,11518163,1,9431,1,10416,1,10416,10416,SMA30:BUY
2026-09-20,12757759,12296584,11919463,11573745,1,9499,1,10491,1,10491,10491,
2026-09-21,12711646,12310726,11984500,11627514,1,9465,1,10453,1,10453,10453,
2026-09-22,13624801,12346287,12074597,11697083,1,10145,1,11204,1,11204,11204,
2026-09-23,13609620,12384537,12163587,11764806,1,10133,1,11192,1,11192,11192,
